Gene stable ID,Gene name,Gene type
ENSG00000210049,MT-TF,Mt_tRNA
ENSG00000211459,MT-RNR1,Mt_rRNA
ENSG00000210077,MT-TV,Mt_tRNA
ENSG00000210082,MT-RNR2,Mt_rRNA
ENSG00000209082,MT-TL1,Mt_tRNA
ENSG00000198888,MT-ND1,protein_coding
ENSG00000210100,MT-TI,Mt_tRNA
ENSG00000210107,MT-TQ,Mt_tRNA
ENSG00000210112,MT-TM,Mt_tRNA
ENSG00000198763,MT-ND2,protein_coding
ENSG00000210117,MT-TW,Mt_tRNA
ENSG00000210127,MT-TA,Mt_tRNA
ENSG00000210135,MT-TN,Mt_tRNA
ENSG00000210140,MT-TC,Mt_tRNA
ENSG00000210144,MT-TY,Mt_tRNA
ENSG00000198804,MT-CO1,protein_coding
ENSG00000210151,MT-TS1,Mt_tRNA
ENSG00000210154,MT-TD,Mt_tRNA
ENSG00000198712,MT-CO2,protein_coding
ENSG00000210156,MT-TK,Mt_tRNA
ENSG00000228253,MT-ATP8,protein_coding
ENSG00000198899,MT-ATP6,protein_coding
ENSG00000198938,MT-CO3,protein_coding
ENSG00000210164,MT-TG,Mt_tRNA
ENSG00000198840,MT-ND3,protein_coding
ENSG00000210174,MT-TR,Mt_tRNA
ENSG00000212907,MT-ND4L,protein_coding
ENSG00000198886,MT-ND4,protein_coding
ENSG00000210176,MT-TH,Mt_tRNA
ENSG00000210184,MT-TS2,Mt_tRNA
ENSG00000210191,MT-TL2,Mt_tRNA
ENSG00000198786,MT-ND5,protein_coding
ENSG00000198695,MT-ND6,protein_coding
ENSG00000210194,MT-TE,Mt_tRNA
ENSG00000198727,MT-CYB,protein_coding
ENSG00000210195,MT-TT,Mt_tRNA
ENSG00000210196,MT-TP,Mt_tRNA
ENSG00000263399,MIR3170,miRNA
ENSG00000200390,AC006011.1,misc_RNA
ENSG00000277953,AC012314.16,protein_coding
ENSG00000266328,MIR4536-2,miRNA
ENSG00000208004,MIR323B,miRNA
ENSG00000200506,AL160313.1,misc_RNA
ENSG00000252315,RNA5SP520,rRNA_pseudogene
ENSG00000252066,RNU2-53P,snRNA
ENSG00000277841,MIR5701-2,miRNA
ENSG00000265195,MIR4312,miRNA
ENSG00000200334,AC008427.1,misc_RNA
ENSG00000223158,RNY1P3,misc_RNA
ENSG00000283274,ABBA01010928.1,rRNA
ENSG00000275109,MIR6504,miRNA
ENSG00000206929,AC093024.1,misc_RNA
ENSG00000222087,RNU6-721P,snRNA
ENSG00000277478,MIR6165,miRNA
ENSG00000202388,AC080098.1,misc_RNA
ENSG00000276562,RN7SL565P,misc_RNA
ENSG00000207736,MIR657,miRNA
ENSG00000252884,RNU6-1213P,snRNA
ENSG00000207782,MIR150,miRNA
ENSG00000241529,RN7SL767P,misc_RNA
ENSG00000278617,MIR8074,miRNA
ENSG00000281067,ST13P19,processed_pseudogene
ENSG00000277836,AC141272.1,protein_coding
ENSG00000216191,MIR8485,miRNA
ENSG00000207357,RNU6-2,snRNA
ENSG00000221782,MIR548F2,miRNA
ENSG00000283568,ABBA01031658.1,rRNA
ENSG00000207438,AL713888.1,misc_RNA
ENSG00000275842,MIR941-5,miRNA
ENSG00000276753,MIR6821,miRNA
ENSG00000278817,AC007325.4,protein_coding
ENSG00000200253,RNU6-529P,snRNA
ENSG00000212572,RNU6-903P,snRNA
ENSG00000276083,MIR7976,miRNA
