"ensembl_id","baseMean","log2FoldChange","pvalue","padj","Gene.name","Gene.type","avg_cpm"
"ENSG00000277233",38.0309434829582,8.78805945022839,5.66160306060922e-09,1.35861821680914e-07,"AL136960.1","misc_RNA",1.64813573307556
"ENSG00000199831",30.6245190092359,8.46618276336588,2.74169546096502e-08,5.98915482356456e-07,"RN7SKP291","misc_RNA",1.32924530209749
"ENSG00000264573",26.1492649651111,8.22996658685265,8.78909294992382e-08,1.75116506418629e-06,"RN7SL15P","misc_RNA",1.1365738847265
"ENSG00000240418",24.3964157910297,8.11809977131936,1.63260886573438e-07,3.08701175794364e-06,"AC020917.1","processed_pseudogene",1.06262461615407
"ENSG00000243365",15.207876724841,7.44910445689602,3.30306968322809e-06,4.86018855643968e-05,"RN7SL278P","misc_RNA",0.660874218644496
"ENSG00000232328",13.5585650709523,7.29023210730355,6.66492159679552e-06,9.21679581495842e-05,"AC084030.1","lncRNA",0.588547091847516
"ENSG00000189343",10.8620445809571,6.9864025542376,2.58223828076305e-05,0.000310286923899054,"RPS2P46","processed_pseudogene",0.470230478492809
"ENSG00000264275",48.4539294844088,6.81290911544374,4.63664078539555e-10,1.32738077782604e-08,"RN7SL753P","misc_RNA",2.10831849438525
"ENSG00000264169",171.312661039339,6.67611842581755,7.41564548539283e-33,9.68068024245122e-31,"RN7SL665P","misc_RNA",7.42836913950745
"ENSG00000271029",22.7059116269,6.67381223545558,1.90247644145425e-06,2.95100860947247e-05,"AC135178.7","processed_pseudogene",0.985572993722595
"ENSG00000167772",2821.88552615167,6.63597863975009,7.50895190270072e-39,1.15595355800255e-36,"ANGPTL4","protein_coding",122.656684786164
"ENSG00000244194",37.061727464164,6.49027101719903,9.09559246534616e-09,2.12334589198167e-07,"RN7SL218P","misc_RNA",1.60788821168484
"ENSG00000276588",19.1450634803039,6.447377541272,6.09580790124656e-06,8.53099428237919e-05,"RN7SL322P","misc_RNA",0.828358223174801
"ENSG00000230432",15.9792431111044,6.16152270926493,2.11149223552311e-05,0.000258226152172888,"AC114803.1","lncRNA",0.694236809315364
"ENSG00000107159",205.218972492771,6.10993605087882,1.94420807518844e-44,3.33953551272895e-42,"CA9","protein_coding",8.91709161434595
"ENSG00000172974",15.246027873913,6.10100844469597,2.77771055862569e-05,0.000330369394283193,"AC007318.1","processed_pseudogene",0.661618910599195
"ENSG00000243562",36.189489958189,5.81292095690447,1.00773215045403e-09,2.71804516216676e-08,"RN7SL838P","misc_RNA",1.57400244585866
"ENSG00000240606",60.8847278258087,5.61972888303305,2.07996519787508e-06,3.19593899236587e-05,"RN7SL564P","misc_RNA",2.62845510967955
"ENSG00000201901",47.3342756735306,5.52999194141812,1.1689812921966e-12,4.42585538887798e-11,"RN7SKP48","misc_RNA",2.05664556528465
"ENSG00000275803",292.172778245325,5.52854426079294,4.0447894938186e-67,1.26928605692561e-64,"RN7SL736P","misc_RNA",12.7048440181713
"ENSG00000218175",20.0014812875306,5.48972366153975,3.56793342081582e-06,5.1937143230038e-05,"AC016739.1","processed_pseudogene",0.872268771734796
"ENSG00000276713",17.3785966951981,5.41238691479493,1.20082815865931e-05,0.000154292235377974,"AC126323.7","misc_RNA",0.754342575669348
