ensembl_id,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1
ENSG00000000003,348,609,693,388,1075,333,964,374
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,1042,4390,4918,5766,3254,1030,2438,4982
ENSG00000000457,31,764,826,654,91,25,101,593
ENSG00000000460,188,398,512,509,444,160,471,559
ENSG00000000938,0,2,2,1,0,0,1,2
ENSG00000000971,10,0,0,0,22,5,21,3
ENSG00000001036,337,222,272,547,995,338,857,393
ENSG00000001084,356,1462,1992,1045,937,303,1061,1080
ENSG00000001167,663,5775,6288,4954,2267,694,1805,4589
ENSG00000001460,126,294,293,520,307,120,376,439
ENSG00000001461,315,1676,2022,2760,819,257,851,2190
ENSG00000001497,210,2229,2396,3568,404,146,574,2805
ENSG00000001561,514,1363,1558,1356,1740,570,1522,1256
ENSG00000001617,149,1281,1226,1011,275,90,381,776
ENSG00000001626,0,7,2,13,0,0,2,10
ENSG00000001629,462,2468,2880,2760,1302,414,1243,2521
ENSG00000001630,41,116,165,196,98,29,101,171
ENSG00000001631,38,500,595,601,113,59,142,547
ENSG00000002016,70,481,617,723,163,44,189,619
ENSG00000002079,0,1,2,1,3,6,4,2
ENSG00000002330,161,675,727,1234,302,107,316,557
ENSG00000002549,333,2149,2560,4974,774,246,947,3914
ENSG00000002586,1161,9045,10936,10046,4081,1512,3042,7785
ENSG00000002587,16,77,93,427,58,17,42,249
ENSG00000002726,0,4,4,4,1,0,0,3
ENSG00000002745,0,0,0,0,0,0,0,0
ENSG00000002746,10,0,3,1,17,9,45,1
ENSG00000002822,3,1,5,2,2,2,3,3
ENSG00000002834,2994,4625,5203,5605,7889,2739,7907,4842
ENSG00000002919,157,337,346,559,420,142,421,364
ENSG00000002933,0,0,0,0,0,0,0,0
ENSG00000003056,1345,2508,2822,3153,2891,1091,3174,2679
ENSG00000003096,116,71,94,212,280,87,274,123
ENSG00000003137,195,54,88,36,660,194,484,33
ENSG00000003147,14,2740,2912,3675,35,20,67,2832
ENSG00000003249,180,2074,2323,2350,528,146,428,1556
ENSG00000003393,241,1934,2141,1853,630,215,774,1734
ENSG00000003400,4,46,53,76,2,3,5,69
ENSG00000003402,312,2805,3303,2969,857,281,878,2872
ENSG00000003436,633,9255,10438,5244,3067,1006,1876,5006
ENSG00000003509,208,865,949,1093,374,165,535,906
ENSG00000003756,304,4906,5173,5194,925,280,957,4132
ENSG00000003987,0,0,2,0,4,1,3,0
ENSG00000003989,108,773,930,637,143,33,313,591
ENSG00000004059,367,2959,3412,4162,752,317,1004,2509
ENSG00000004139,65,1012,1249,1988,67,30,169,1286
ENSG00000004142,669,4262,4918,7741,1300,457,1592,5596
ENSG00000004399,66,262,262,94,160,69,221,85
ENSG00000004455,883,6969,8411,8870,2644,948,2390,8003
ENSG00000004468,0,1,3,7,2,1,5,8
ENSG00000004478,1882,9970,12632,18678,4151,1432,4729,15431
ENSG00000004487,626,4477,5422,3963,1566,539,1657,3658
ENSG00000004534,219,7743,8463,5772,562,175,563,4962
ENSG00000004660,113,473,645,699,100,64,228,631
ENSG00000004700,826,2022,2357,2536,3179,1066,2311,2426
ENSG00000004766,375,702,877,1089,1004,325,1072,1148
ENSG00000004776,2,196,209,154,11,2,17,113
ENSG00000004777,27,1263,1185,937,32,26,63,703
ENSG00000004779,294,2206,2685,4038,858,304,837,2885
ENSG00000004799,21,0,0,1,50,16,65,2
ENSG00000004809,1,7,10,12,2,0,3,14
ENSG00000004838,2,84,73,96,11,1,7,78
ENSG00000004846,0,9,17,45,1,1,4,42
ENSG00000004848,1,39,45,80,1,1,6,47
ENSG00000004864,419,1286,1713,1912,1016,322,1088,1757
ENSG00000004866,311,7293,7252,6526,639,238,768,4845
ENSG00000004897,3373,6233,7790,7105,14536,4426,9839,7089
ENSG00000004939,0,5,2,5,0,0,6,6
ENSG00000004948,0,1,1,0,0,0,1,0
ENSG00000004961,346,1054,1224,1090,746,288,867,859
ENSG00000004975,296,2376,2720,2089,654,260,774,1591
ENSG00000005001,4,12,9,10,11,3,14,7
ENSG00000005007,182,3774,4568,3739,467,149,399,3167
ENSG00000005020,312,2675,2964,2782,1020,402,1132,2481
ENSG00000005022,1239,6899,8401,10279,3558,1201,3394,8138
ENSG00000005059,136,8,11,39,642,203,381,20
ENSG00000005073,143,8,12,2,393,109,399,3
ENSG00000005075,211,444,555,853,292,132,441,485
ENSG00000005100,201,2086,2518,2124,367,121,518,1797
ENSG00000005102,2,0,0,0,5,1,6,0
ENSG00000005108,0,98,131,7,0,0,2,4
ENSG00000005156,453,2811,3290,4074,634,246,1158,3645
ENSG00000005175,889,4969,5440,6103,2697,743,2609,5719
ENSG00000005187,51,1185,1255,2506,75,27,147,2471
ENSG00000005189,65,785,883,786,108,53,172,757
ENSG00000005194,254,1131,1363,1659,559,176,738,1163
ENSG00000005206,74,1094,1111,1149,87,49,143,739
ENSG00000005238,157,1423,1429,1534,531,207,379,884
ENSG00000005243,14,0,2,4,14,10,21,4
ENSG00000005249,17,1410,1497,1208,60,23,93,1211
ENSG00000005302,813,2300,2893,1819,2638,847,2186,1602
ENSG00000005339,407,5007,5774,4086,1455,457,1060,3330
ENSG00000005379,72,213,236,238,103,46,165,143
ENSG00000005381,0,1,0,0,0,0,0,0
ENSG00000005421,0,0,2,1,0,0,1,0
ENSG00000005436,337,1434,1754,1744,760,251,942,1736
ENSG00000005448,148,406,467,457,747,319,350,280
ENSG00000005469,176,981,1278,1418,328,127,433,1117
ENSG00000005471,4,2,2,11,4,3,6,5
ENSG00000005483,490,13326,14683,7653,2762,922,1641,7118
ENSG00000005486,155,1409,1459,1078,354,158,379,728
ENSG00000005513,16,171,168,469,32,6,36,333
ENSG00000005700,468,4282,4607,5817,1391,449,1293,5252
ENSG00000005801,260,1753,2175,2122,602,193,724,2049
ENSG00000005810,205,7737,10091,10227,609,184,661,9567
ENSG00000005812,285,3545,4398,3124,1341,398,828,3161
ENSG00000005844,0,24,12,5,0,0,0,16
ENSG00000005882,276,1972,2079,2582,651,238,851,1940
ENSG00000005884,1916,686,692,609,7128,2797,5131,371
ENSG00000005889,1063,2472,2927,1456,3487,1040,2882,1541
ENSG00000005893,1637,6267,7017,6963,5137,1689,4508,7212
ENSG00000005961,15,14,10,6,26,16,44,3
ENSG00000005981,3,0,0,0,1,0,3,0
ENSG00000006007,1370,12239,12616,4695,6016,1925,3736,3437
ENSG00000006015,121,370,430,997,149,75,283,509
ENSG00000006016,12,22,13,6,22,6,27,4
ENSG00000006025,83,72,101,25,229,103,220,3
ENSG00000006042,306,910,998,1642,727,291,878,1098
ENSG00000006047,0,173,192,170,1,0,5,137
ENSG00000006059,0,0,0,0,0,0,0,0
ENSG00000006062,392,277,349,613,800,297,1005,412
ENSG00000006071,3,268,244,373,4,2,11,280
ENSG00000006116,0,0,0,0,2,0,0,0
ENSG00000006118,466,2574,2943,3440,1074,380,1047,1626
ENSG00000006125,1659,10556,12492,13423,4181,1475,4368,12127
ENSG00000006128,0,0,1,0,0,0,1,0
ENSG00000006194,36,1576,1752,2140,83,31,112,1543
ENSG00000006210,2,3,2,2,4,0,3,1
ENSG00000006282,333,4316,4961,5637,604,241,817,3915
ENSG00000006283,26,32,58,14,56,19,57,8
ENSG00000006327,1740,551,630,408,2702,980,3815,248
ENSG00000006377,3,2,0,0,9,3,4,0
ENSG00000006432,1251,939,1074,818,3711,1278,3102,601
ENSG00000006451,474,2653,2829,3603,1555,494,1217,2934
ENSG00000006453,287,2842,3164,3641,947,329,682,3178
ENSG00000006459,89,1764,1832,848,329,82,235,959
ENSG00000006468,808,15122,17438,11438,1983,636,2311,11523
ENSG00000006530,435,2414,2626,4050,818,298,1211,3322
ENSG00000006534,332,72,48,90,388,194,809,79
ENSG00000006555,30,0,1,2,96,29,96,0
ENSG00000006576,242,2124,2591,1749,718,250,789,1877
ENSG00000006606,72,37,57,4,208,66,182,2
ENSG00000006607,100,2881,3433,2663,327,119,364,2283
ENSG00000006611,0,12,8,2,1,0,4,1
ENSG00000006625,243,2294,2627,6469,476,158,540,4986
ENSG00000006634,385,1754,2049,2434,852,306,1056,2486
ENSG00000006638,23,7,2,2,20,10,32,2
ENSG00000006652,448,3132,3336,3414,928,296,1111,3069
ENSG00000006659,0,0,0,0,0,0,0,0
ENSG00000006695,382,656,684,1099,674,257,1064,966
ENSG00000006704,108,1348,1461,986,218,63,283,732
ENSG00000006712,285,5800,6848,6846,704,180,781,5383
ENSG00000006715,723,1850,2212,2645,1943,639,1877,2266
ENSG00000006740,114,1191,1186,1068,251,84,312,749
ENSG00000006744,298,2630,3050,4272,498,145,671,3444
ENSG00000006747,6,47,73,81,12,5,20,78
ENSG00000006756,170,1693,1897,2447,396,145,444,1848
ENSG00000006757,243,1039,1199,2259,409,170,553,1492
ENSG00000006788,0,10,22,14,0,0,0,6
ENSG00000006831,174,1872,2221,2258,422,154,510,1781
ENSG00000006837,6,64,94,99,12,3,16,79
ENSG00000007001,0,0,0,2,0,0,0,1
ENSG00000007038,0,0,0,0,0,0,0,0
ENSG00000007047,46,585,650,560,108,33,112,358
ENSG00000007062,1,1,2,6,12,5,1,5
ENSG00000007080,356,2452,2517,4291,624,224,817,2573
ENSG00000007129,0,1,0,0,0,0,0,0
ENSG00000007168,975,6058,7499,6083,3895,1328,2886,5700
ENSG00000007171,9,0,1,0,20,5,15,0
ENSG00000007174,0,108,100,90,0,0,0,70
ENSG00000007202,2143,14994,18261,16718,6189,1914,5827,13180
ENSG00000007216,0,0,2,1,0,0,0,0
ENSG00000007237,4,21,17,10,1,2,2,5
ENSG00000007255,31,176,159,367,44,21,67,205
ENSG00000007264,7,9,6,13,7,6,23,5
ENSG00000007306,0,0,0,0,0,0,0,0
ENSG00000007312,1,0,0,0,0,0,0,0
ENSG00000007314,2,0,1,0,2,1,2,3
ENSG00000007341,265,975,1134,1705,709,246,703,1490
ENSG00000007350,0,10,16,4,2,0,0,8
ENSG00000007372,143,0,0,2,347,107,346,0
ENSG00000007376,373,643,830,1056,567,202,882,585
ENSG00000007384,118,1662,1972,1394,422,135,307,1081
ENSG00000007392,35,4002,4549,2734,121,30,116,2411
ENSG00000007402,49,282,213,396,98,30,131,256
ENSG00000007516,41,301,317,300,94,39,73,240
ENSG00000007520,237,1483,1678,2845,385,132,623,1822
ENSG00000007541,84,766,800,863,163,71,242,495
ENSG00000007545,9,480,634,550,37,18,29,417
ENSG00000007866,78,1248,1419,1087,302,117,234,774
ENSG00000007908,0,0,4,2,0,0,0,1
ENSG00000007923,441,3309,3737,4218,1161,411,1108,3309
ENSG00000007933,0,6,6,3,1,0,0,4
ENSG00000007944,170,1027,1065,967,293,97,400,738
ENSG00000007952,0,5,4,5,2,0,0,9
ENSG00000007968,36,257,358,361,60,26,120,394
ENSG00000008018,888,6014,7919,9328,2554,845,2173,9218
ENSG00000008056,2,11,3,6,41,8,15,4
ENSG00000008083,137,2215,2612,1881,335,124,308,1520
ENSG00000008086,487,473,540,465,2280,769,1472,469
ENSG00000008118,2,1,2,4,1,2,7,2
ENSG00000008128,0,115,110,97,0,0,1,60
ENSG00000008130,101,1881,2175,2062,169,75,276,1905
ENSG00000008196,1,1,0,2,0,0,0,1
ENSG00000008197,0,0,0,0,0,0,0,0
ENSG00000008226,0,11,10,2,3,0,1,9
ENSG00000008256,71,1257,1499,2275,160,46,219,2131
ENSG00000008277,152,700,860,1304,340,115,377,1160
ENSG00000008282,747,5446,6656,5940,2571,913,2080,6706
ENSG00000008283,812,4193,5162,5175,1585,548,2057,4871
ENSG00000008294,557,2365,2621,2456,1803,532,1623,2287
ENSG00000008300,34,805,892,445,76,39,76,305
ENSG00000008311,413,1414,1644,2482,1027,331,1331,2310
ENSG00000008323,14,66,64,45,33,10,47,35
ENSG00000008324,32,381,450,489,84,29,101,371
ENSG00000008382,43,213,238,612,44,16,71,282
ENSG00000008394,1865,8004,9318,20344,5757,1964,5760,17057
ENSG00000008405,211,1156,1320,859,721,230,432,714
ENSG00000008438,0,0,0,0,0,0,0,1
ENSG00000008441,544,30242,33213,39490,1622,538,1592,28582
ENSG00000008513,971,32548,35568,35545,3854,1300,2427,28169
ENSG00000008516,5,17,28,11,7,8,16,14
ENSG00000008517,158,674,751,328,379,160,432,307
ENSG00000008710,128,2848,2831,2954,248,103,336,1870
ENSG00000008735,4,441,529,875,24,3,9,414
ENSG00000008838,270,2247,2803,2776,551,187,586,1967
ENSG00000008853,356,754,803,1124,642,213,910,863
ENSG00000008869,314,1890,2188,2305,799,287,764,2041
ENSG00000008952,145,7860,8963,11623,446,103,524,9406
ENSG00000008988,992,10943,12970,20300,2271,732,2234,13125
ENSG00000009307,3672,41898,47723,48514,12016,3692,10484,43765
ENSG00000009335,1199,5634,6679,6498,3191,1028,2918,5840
ENSG00000009413,484,2091,2641,1653,1090,349,1311,1571
ENSG00000009694,0,1311,1456,575,19,9,16,488
ENSG00000009709,0,0,0,1,0,0,0,0
ENSG00000009724,1,4,2,9,0,1,6,10
ENSG00000009765,2,507,550,578,0,1,0,621
ENSG00000009780,110,523,545,669,282,77,319,601
ENSG00000009790,0,0,0,0,0,0,0,0
ENSG00000009830,68,1116,1385,1040,167,45,192,897
ENSG00000009844,848,4200,4773,4582,2410,863,2501,4356
ENSG00000009950,25,271,245,337,33,14,61,271
ENSG00000009954,260,10111,11688,10050,530,162,676,9258
ENSG00000010017,242,4329,4464,3341,788,243,799,3102
ENSG00000010030,1,4,9,42,6,0,3,24
ENSG00000010072,127,700,868,868,303,98,401,804
